sample	group	donor	time	group.time
16S_A01T1	A	A01	T1	A.T1
16S_A01T2	A	A01	T2	A.T2
16S_A01T3	A	A01	T3	A.T3
16S_A01T4	A	A01	T4	A.T4
16S_A01T5	A	A01	T5	A.T5
16S_A01T6	A	A01	T6	A.T6
16S_A01T7	A	A01	T7	A.T7
16S_A01T8	A	A01	T8	A.T8
16S_A02T1	A	A02	T1	A.T1
16S_A02T2	A	A02	T2	A.T2
16S_A02T3	A	A02	T3	A.T3
16S_A02T4	A	A02	T4	A.T4
16S_A02T5	A	A02	T5	A.T5
16S_A02T6	A	A02	T6	A.T6
16S_A02T7	A	A02	T7	A.T7
16S_A02T8	A	A02	T8	A.T8
16S_A03T1	A	A03	T1	A.T1
16S_A03T2	A	A03	T2	A.T2
16S_A03T3	A	A03	T3	A.T3
16S_A03T4	A	A03	T4	A.T4
16S_A03T5	A	A03	T5	A.T5
16S_A03T6	A	A03	T6	A.T6
16S_A03T7	A	A03	T7	A.T7
16S_A04T1	A	A04	T1	A.T1
16S_A04T2	A	A04	T2	A.T2
16S_A04T3	A	A04	T3	A.T3
16S_A04T4	A	A04	T4	A.T4
16S_A04T5	A	A04	T5	A.T5
16S_A04T6	A	A04	T6	A.T6
16S_A04T8	A	A04	T8	A.T8
16S_A05T1	A	A05	T1	A.T1
16S_A05T2	A	A05	T2	A.T2
16S_A05T3	A	A05	T3	A.T3
16S_A05T4	A	A05	T4	A.T4
16S_A05T5	A	A05	T5	A.T5
16S_A05T6	A	A05	T6	A.T6
16S_A05T7	A	A05	T7	A.T7
16S_A05T8	A	A05	T8	A.T8
16S_A06T1	A	A06	T1	A.T1
16S_A06T2	A	A06	T2	A.T2
16S_A06T3	A	A06	T3	A.T3
16S_A06T4	A	A06	T4	A.T4
16S_A07T1	A	A07	T1	A.T1
16S_A07T2	A	A07	T2	A.T2
16S_A07T3	A	A07	T3	A.T3
16S_A07T4	A	A07	T4	A.T4
16S_A07T5	A	A07	T5	A.T5
16S_A07T6	A	A07	T6	A.T6
16S_A07T7	A	A07	T7	A.T7
16S_A07T8	A	A07	T8	A.T8
16S_A08T1	A	A08	T1	A.T1
16S_A08T2	A	A08	T2	A.T2
16S_A08T3	A	A08	T3	A.T3
16S_A08T4	A	A08	T4	A.T4
16S_A08T5	A	A08	T5	A.T5
16S_A08T6	A	A08	T6	A.T6
16S_A08T7	A	A08	T7	A.T7
16S_A08T8	A	A08	T8	A.T8
16S_A09T1	A	A09	T1	A.T1
16S_A09T2	A	A09	T2	A.T2
16S_A09T3	A	A09	T3	A.T3
16S_A09T4	A	A09	T4	A.T4
16S_A09T5	A	A09	T5	A.T5
16S_A09T6	A	A09	T6	A.T6
16S_A09T7	A	A09	T7	A.T7
16S_A09T8	A	A09	T8	A.T8
16S_A10T1	A	A10	T1	A.T1
16S_A10T2	A	A10	T2	A.T2
16S_A10T3	A	A10	T3	A.T3
16S_A10T4	A	A10	T4	A.T4
16S_E01T1	E	E01	T1	E.T1
16S_E01T2	E	E01	T2	E.T2
16S_E01T3	E	E01	T3	E.T3
16S_E01T4	E	E01	T4	E.T4
16S_E01T5	E	E01	T5	E.T5
16S_E01T6	E	E01	T6	E.T6
16S_E01T7	E	E01	T7	E.T7
16S_E01T8	E	E01	T8	E.T8
16S_E02T1	E	E02	T1	E.T1
16S_E02T2	E	E02	T2	E.T2
16S_E02T3	E	E02	T3	E.T3
16S_E02T4	E	E02	T4	E.T4
16S_E02T5	E	E02	T5	E.T5
16S_E02T6	E	E02	T6	E.T6
16S_E02T7	E	E02	T7	E.T7
16S_E02T8	E	E02	T8	E.T8
16S_E03T1	E	E03	T1	E.T1
16S_E03T2	E	E03	T2	E.T2
16S_E03T3	E	E03	T3	E.T3
16S_E03T4	E	E03	T4	E.T4
16S_E03T5	E	E03	T5	E.T5
16S_E03T6	E	E03	T6	E.T6
16S_E03T7	E	E03	T7	E.T7
16S_E03T8	E	E03	T8	E.T8
16S_E04T1	E	E04	T1	E.T1
16S_E04T2	E	E04	T2	E.T2
16S_E04T3	E	E04	T3	E.T3
16S_E04T4	E	E04	T4	E.T4
16S_E04T5	E	E04	T5	E.T5
16S_E04T6	E	E04	T6	E.T6
16S_E04T7	E	E04	T7	E.T7
16S_E04T8	E	E04	T8	E.T8
16S_E05T1	E	E05	T1	E.T1
16S_E05T2	E	E05	T2	E.T2
16S_E05T3	E	E05	T3	E.T3
16S_E05T4	E	E05	T4	E.T4
16S_E05T5	E	E05	T5	E.T5
16S_E05T6	E	E05	T6	E.T6
16S_E05T7	E	E05	T7	E.T7
16S_E05T8	E	E05	T8	E.T8
16S_E06T1	E	E06	T1	E.T1
16S_E06T2	E	E06	T2	E.T2
16S_E06T3	E	E06	T3	E.T3
16S_E06T4	E	E06	T4	E.T4
16S_E06T5	E	E06	T5	E.T5
16S_E06T6	E	E06	T6	E.T6
16S_E06T7	E	E06	T7	E.T7
16S_E07T1	E	E07	T1	E.T1
16S_E07T2	E	E07	T2	E.T2
16S_E07T3	E	E07	T3	E.T3
16S_E07T4	E	E07	T4	E.T4
16S_E07T5	E	E07	T5	E.T5
16S_E07T6	E	E07	T6	E.T6
16S_E07T7	E	E07	T7	E.T7
16S_E08T1	E	E08	T1	E.T1
16S_E08T2	E	E08	T2	E.T2
16S_E08T3	E	E08	T3	E.T3
16S_E08T4	E	E08	T4	E.T4
16S_E09T1	E	E09	T1	E.T1
16S_E09T2	E	E09	T2	E.T2
16S_E09T3	E	E09	T3	E.T3
16S_E09T4	E	E09	T4	E.T4
16S_E09T5	E	E09	T5	E.T5
16S_E09T6	E	E09	T6	E.T6
16S_E09T7	E	E09	T7	E.T7
16S_E09T8	E	E09	T8	E.T8
16S_E10T1	E	E10	T1	E.T1
16S_E10T2	E	E10	T2	E.T2
16S_E10T3	E	E10	T3	E.T3
16S_E10T4	E	E10	T4	E.T4
16S_E10T5	E	E10	T5	E.T5
16S_E10T6	E	E10	T6	E.T6
16S_E10T7	E	E10	T7	E.T7
16S_E10T8	E	E10	T8	E.T8
16S_I01T1	I	I01	T1	I.T1
16S_I01T2	I	I01	T2	I.T2
16S_I01T3	I	I01	T3	I.T3
16S_I01T4	I	I01	T4	I.T4
16S_I01T5	I	I01	T5	I.T5
16S_I01T6	I	I01	T6	I.T6
16S_I01T7	I	I01	T7	I.T7
16S_I01T8	I	I01	T8	I.T8
16S_I02T1	I	I02	T1	I.T1
16S_I02T2	I	I02	T2	I.T2
16S_I02T3	I	I02	T3	I.T3
16S_I02T4	I	I02	T4	I.T4
16S_I02T5	I	I02	T5	I.T5
16S_I02T6	I	I02	T6	I.T6
16S_I02T7	I	I02	T7	I.T7
16S_I02T8	I	I02	T8	I.T8
16S_I03T1	I	I03	T1	I.T1
16S_I03T2	I	I03	T2	I.T2
16S_I03T3	I	I03	T3	I.T3
16S_I03T4	I	I03	T4	I.T4
16S_I03T5	I	I03	T5	I.T5
16S_I03T6	I	I03	T6	I.T6
16S_I03T7	I	I03	T7	I.T7
16S_I03T8	I	I03	T8	I.T8
16S_I04T1	I	I04	T1	I.T1
16S_I04T2	I	I04	T2	I.T2
16S_I05T1	I	I05	T1	I.T1
16S_I05T2	I	I05	T2	I.T2
16S_I05T3	I	I05	T3	I.T3
16S_I05T4	I	I05	T4	I.T4
16S_I05T5	I	I05	T5	I.T5
16S_I05T6	I	I05	T6	I.T6
16S_I05T7	I	I05	T7	I.T7
16S_I05T8	I	I05	T8	I.T8
16S_I06T1	I	I06	T1	I.T1
16S_I06T2	I	I06	T2	I.T2
16S_I06T3	I	I06	T3	I.T3
16S_I06T4	I	I06	T4	I.T4
16S_I06T5	I	I06	T5	I.T5
16S_I06T6	I	I06	T6	I.T6
16S_I06T7	I	I06	T7	I.T7
16S_I06T8	I	I06	T8	I.T8
16S_I07T1	I	I07	T1	I.T1
16S_I07T2	I	I07	T2	I.T2
16S_I07T3	I	I07	T3	I.T3
16S_I07T4	I	I07	T4	I.T4
16S_I07T5	I	I07	T5	I.T5
16S_I07T6	I	I07	T6	I.T6
16S_I07T7	I	I07	T7	I.T7
16S_I07T8	I	I07	T8	I.T8
16S_I08T1	I	I08	T1	I.T1
16S_I08T2	I	I08	T2	I.T2
16S_I08T3	I	I08	T3	I.T3
16S_I08T4	I	I08	T4	I.T4
16S_I08T5	I	I08	T5	I.T5
16S_I08T6	I	I08	T6	I.T6
16S_I08T7	I	I08	T7	I.T7
16S_I08T8	I	I08	T8	I.T8
16S_I09T1	I	I09	T1	I.T1
16S_I09T2	I	I09	T2	I.T2
16S_I09T3	I	I09	T3	I.T3
16S_I09T4	I	I09	T4	I.T4
16S_I09T5	I	I09	T5	I.T5
16S_I09T6	I	I09	T6	I.T6
16S_I09T7	I	I09	T7	I.T7
16S_I09T8	I	I09	T8	I.T8
16S_I10T1	I	I10	T1	I.T1
16S_I10T2	I	I10	T2	I.T2
16S_I10T3	I	I10	T3	I.T3
16S_I10T4	I	I10	T4	I.T4
16S_I10T5	I	I10	T5	I.T5
16S_I10T6	I	I10	T6	I.T6
16S_I10T7	I	I10	T7	I.T7
16S_I10T8	I	I10	T8	I.T8
