sample	group	donor	time	group.time
A01T1_MTT	A	A01	T1	A.T1
A01T4_MTT	A	A01	T4	A.T4
A02T1_MTT	A	A02	T1	A.T1
A02T7_MTT	A	A02	T7	A.T7
A03T1_MTT	A	A03	T1	A.T1
A03T4_MTT	A	A03	T4	A.T4
A03T7_MTT	A	A03	T7	A.T7
A04T1_MTT	A	A04	T1	A.T1
A04T7_MTT	A	A04	T7	A.T7
A05T7_MTT	A	A05	T7	A.T7
A07T1_MTT	A	A07	T1	A.T1
A08T1_MTT	A	A08	T1	A.T1
A09T1_MTT	A	A09	T1	A.T1
A09T4_MTT	A	A09	T4	A.T4
E01T1_MTT	E	E01	T1	E.T1
E02T1_MTT	E	E02	T1	E.T1
E02T4_MTT	E	E02	T4	E.T4
E02T7_MTT	E	E02	T7	E.T7
E03T1_MTT	E	E03	T1	E.T1
E05T7_MTT	E	E05	T7	E.T7
E09T4_MTT	E	E09	T4	E.T4
I02T4_MTT	I	I02	T4	I.T4
I03T1_MTT	I	I03	T1	I.T1
I03T7_MTT	I	I03	T7	I.T7
I05T4_MTT	I	I05	T4	I.T4
I06T1_MTT	I	I06	T1	I.T1
I07T1_MTT	I	I07	T1	I.T1
I09T1_MTT	I	I09	T1	I.T1
I09T4_MTT	I	I09	T4	I.T4
I09T7_MTT	I	I09	T7	I.T7
A01T7_MTT	A	A01	T7	A.T7
A01T8_MTT	A	A01	T8	A.T8
A02T5_MTT	A	A02	T5	A.T5
A02T8_MTT	A	A02	T8	A.T8
A03T5_MTT	A	A03	T5	A.T5
A03T6_MTT	A	A03	T6	A.T6
A04T4_MTT	A	A04	T4	A.T4
A04T6_MTT	A	A04	T6	A.T6
A05T5_MTT	A	A05	T5	A.T5
A05T8_MTT	A	A05	T8	A.T8
A06T1_MTT	A	A06	T1	A.T1
A06T4_MTT	A	A06	T4	A.T4
A07T4_MTT	A	A07	T4	A.T4
A08T6_MTT	A	A08	T6	A.T6
A08T8_MTT	A	A08	T8	A.T8
A09T7_MTT	A	A09	T7	A.T7
A09T8_MTT	A	A09	T8	A.T8
A10T1_MTT	A	A10	T1	A.T1
A10T4_MTT	A	A10	T4	A.T4
E01T5_MTT	E	E01	T5	E.T5
E01T8_MTT	E	E01	T8	E.T8
E02T6_MTT	E	E02	T6	E.T6
E02T8_MTT	E	E02	T8	E.T8
E03T6_MTT	E	E03	T6	E.T6
E03T8_MTT	E	E03	T8	E.T8
E04T4_MTT	E	E04	T4	E.T4
E04T8_MTT	E	E04	T8	E.T8
E05T5_MTT	E	E05	T5	E.T5
E05T8_MTT	E	E05	T8	E.T8
E06T7_MTT	E	E06	T7	E.T7
E07T1_MTT	E	E07	T1	E.T1
E09T8_MTT	E	E09	T8	E.T8
E10T5_MTT	E	E10	T5	E.T5
E10T7_MTT	E	E10	T7	E.T7
I01T4_MTT	I	I01	T4	I.T4
I01T8_MTT	I	I01	T8	I.T8
I03T4_MTT	I	I03	T4	I.T4
I06T4_MTT	I	I06	T4	I.T4
I07T7_MTT	I	I07	T7	I.T7
I08T4_MTT	I	I08	T4	I.T4
I10T4_MTT	I	I10	T4	I.T4
A05T4_MTT	A	A05	T4	A.T4
A07T8_MTT	A	A07	T8	A.T8
A08T7_MTT	A	A08	T7	A.T7
E06T1_MTT	E	E06	T1	E.T1
E09T5_MTT	E	E09	T5	E.T5
I04T1_MTT	I	I04	T1	I.T1
I05T6_MTT	I	I05	T6	I.T6
I09T5_MTT	I	I09	T5	I.T5
